"Reporting Period","Project ID","Project County","Project City","Project ZIP","Gas Utility","Electric Utility","Project Completion Date","Total Project Cost","Pre-Retrofit Home Heating Fuel Type","Year Home Built","Size Of Home","Number Of Units","Job Type","Type Of Dwelling","Measure Type","Estimated Annual kWh Savings","Estimated Annual MMBtu Savings","First Year Modeled Project Energy Savings $ Estimate","Location 1"
"06/30/2023","324658","Monroe","Rochester","14618","Rochester Gas & Electric","Rochester Gas & Electric","03/20/2018","$2,049.00","Natural Gas","1941","2,238","1","Home Performance","Single Family","Building Shell","510.00","7.00","$121.00"," Rochester NY 14618 (43.129655, -77.568015)"
"06/30/2023","400002","Oswego","Fulton","13069","National Grid","National Grid","07/22/2019","$6,211.00","Natural Gas","1877","1,632","1","Home Performance","Single Family","Building Shell","54.00","50.00","$430.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","361371","Wayne","Wolcott","14590","Rochester Gas & Electric","Rochester Gas & Electric","08/16/2018","$6,999.00","Natural Gas",,"1,092","1","Home Performance","Mobile","Building Shell","0.00","29.00","$739.00"," Wolcott NY 14590 (43.2204905, -76.8164533)"
"06/30/2023","380173","Otsego","Richfield Springs","13439",,"New York State Electric & Gas","04/16/2019","$1,461.00","Kerosene","2001","1,612","1","Home Performance","Single Family","Building Shell","510.00","5.00","$186.00"," Richfield Springs NY 13439 (42.852605, -74.98853)"
"06/30/2023","404217","Kings","Brooklyn","11249","National Grid","Consolidated Edison","07/31/2019","$276.00","Natural Gas","2006","1,290","1","Home Performance","Single Family","Building Shell","0.00","1.00","$14.00"," Brooklyn NY 11249 (40.71217, -73.96372)"
"06/30/2023","380949","Oneida","Rome","13440","National Grid","National Grid","03/07/2019","$4,212.00","Natural Gas","1923","1,755","1","Home Performance","Single Family","Building Shell","443.00","29.00","$326.00"," Rome NY 13440 (43.21118, -75.458425)"
"06/30/2023","331522","Monroe","Rochester","14609","Rochester Gas & Electric","Rochester Gas & Electric","02/06/2018","$4,470.00","Natural Gas","1941","1,250","1","Home Performance","Single Family","Building Shell","510.00","28.00","$335.00"," Rochester NY 14609 (43.165865, -77.56504)"
"06/30/2023","344043","Oswego","Fulton","13069",,"National Grid","07/23/2018","$480.00","Propane","1997","1,378","1","Home Performance","Mobile","Building Shell","0.00","1.00","$14.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","394148","Oneida","Yorkville","13495","National Grid","National Grid","04/01/2019","$2,506.00","Electric","1956","1,638","1","Home Performance","Single Family","Building Shell","460.00","16.00","$207.00"," Yorkville NY 13495 (43.11215, -75.274725)"
"06/30/2023","370703","Ontario","Geneva","14456","New York State Electric & Gas","New York State Electric & Gas","10/22/2018","$4,320.00","Natural Gas","1903","1,600","1","Home Performance","Single Family","Building Shell","443.00","50.00","$512.00"," Geneva NY 14456 (42.87351, -76.983615)"
"06/30/2023","382176","Queens","Queens","11427","National Grid","Consolidated Edison","12/20/2018","$4,248.00","Natural Gas",,"1,118","1","Home Performance","Single Family","Building Shell","0.00","14.00","$193.00"," Queens NY 11427 (40.732545, -73.739445)"
"06/30/2023","362899","Suffolk","Medford","11763",,"Long Island Power Authority","09/27/2018","$7,026.00","Oil","1954","1,269","1","Home Performance","Single Family","Building Shell","410.00","29.00","$644.00"," Medford NY 11763 (40.815645, -73.001045)"
"06/30/2023","332584","Rensselaer","Hoosick Falls","12090",,"National Grid","01/10/2019","$1,720.00","Oil",,"1,895","1","Home Performance","Single Family","Building Shell","1,124.00","5.00","$246.00"," Hoosick Falls NY 12090 (42.9020816, -73.3526221)"
"06/30/2023","399257","Erie","Buffalo","14215","National Fuel Gas Distribution","National Grid","04/11/2019","$4,548.00","Natural Gas",,"1,170","1","Home Performance","Single Family","Building Shell","510.00","47.00","$519.00"," Buffalo NY 14215 (42.93241, -78.80886)"
"06/30/2023","338306","Ulster","Highland","12528","Central Hudson Gas & Electric","Central Hudson Gas & Electric","04/10/2018","$558.00","Natural Gas","1981","1,056","1","Electric Reduction","Single Family","Building Shell","510.00","3.00","$110.00"," Highland NY 12528 (41.7192541, -73.9668305)"
"06/30/2023","339021","Allegany","Cuba","14727",,"Rochester Gas & Electric","04/30/2018","$1,026.00","Propane",,"980","1","Home Performance","Mobile","Building Shell","343.00","7.00","$138.00"," Cuba NY 14727 (42.216495, -78.2749)"
"06/30/2023","355085","Oneida","Whitesboro","13492","National Grid","National Grid","06/28/2018","$5,702.00","Natural Gas","1951","1,721","1","Home Performance","Single Family","Building Shell","0.00","28.00","$251.00"," Whitesboro NY 13492 (43.120445, -75.29465)"
"06/30/2023","385298","Chautauqua","Jamestown","14701","National Fuel Gas Distribution","Municipal","06/13/2019","$6,976.00","Natural Gas","1941","1,218","1","Home Performance","Single Family","Building Shell","0.00","64.00","$474.00"," Jamestown NY 14701 (42.099115, -79.238355)"
"06/30/2023","422786","Kings","Brooklyn","11212","Consolidated Edison","Consolidated Edison","07/29/2019","$489.00","Natural Gas",,"1,023","1","Electric Reduction","Single Family","Building Shell","343.00","1.00","$85.00"," Brooklyn NY 11212 (40.660715, -73.915265)"
"06/30/2023","332189","Bronx","Bronx","10466","Consolidated Edison","Consolidated Edison","02/08/2018","$5,123.00","Natural Gas","1951","1,800","1","Home Performance","Single Family","Building Shell","764.00","33.00","$695.00"," Bronx NY 10466 (40.892595, -73.85024)"
"06/30/2023","371893","Bronx","Bronx","10467","National Grid","Consolidated Edison","10/04/2018","$436.00","Natural Gas",,"1,261","1","Electric Reduction","Single Family","Building Shell","393.00","1.00","$88.00"," Bronx NY 10467 (40.874915, -73.867125)"
"06/30/2023","327261","Monroe","Webster","14580","Rochester Gas & Electric","Rochester Gas & Electric","01/04/2018","$6,951.00","Natural Gas","1958","1,320","1","Home Performance","Single Family","Building Shell","0.00","36.00","$353.00"," Webster NY 14580 (43.2141056, -77.4345478)"
"06/30/2023","407868","Oneida","Whitesboro","13492","National Grid","National Grid","08/12/2019","$4,635.00","Natural Gas",,"1,544","1","Home Performance","Single Family","Building Shell","510.00","22.00","$238.00"," Whitesboro NY 13492 (43.120445, -75.29465)"
"06/30/2023","364214","Oneida","Utica","13501","National Grid","National Grid","09/06/2018","$1,848.00","Natural Gas",,"1,250","1","Home Performance","Single Family","Building Shell","0.00","5.00","$47.00"," Utica NY 13501 (43.09528, -75.22754)"
"06/30/2023","333292","Erie","Akron","14001","National Fuel Gas Distribution","National Grid","04/06/2018","$3,742.00","Natural Gas","1981","1,152","1","Home Performance","Mobile","Building Shell","443.00","28.00","$326.00"," Akron NY 14001 (43.02314, -78.49815)"
"06/30/2023","383413","Erie","Buffalo","14207","National Fuel Gas Distribution","National Grid","01/24/2019","$4,354.00","Natural Gas","1931","1,000","1","Home Performance","Single Family","Building Shell","410.00","28.00","$326.00"," Buffalo NY 14207 (42.945525, -78.887125)"
"06/30/2023","355112","Queens","Queens","11419","National Grid","Consolidated Edison","06/08/2018","$4,474.00","Natural Gas","1924","1,260","1","Home Performance","Single Family","Building Shell","0.00","47.00","$635.00"," Queens NY 11419 (40.69026, -73.818355)"
"06/30/2023","356535","Oswego","Fulton","13069",,"National Grid","06/05/2018","$5,475.00","Propane","1997","840","1","Home Performance","Mobile","Building Shell","0.00","27.00","$664.00"," Fulton NY 13069 (43.325035, -76.41174)"
"06/30/2023","349886","Monroe","Brockport","14420","New York State Electric & Gas","National Grid","06/25/2018","$4,533.00","Natural Gas","1972","Report SF less than 800","1","Home Performance","Mobile","Building Shell","510.00","28.00","$365.00"," Brockport NY 14420 (43.214665, -77.940015)"
"06/30/2023","365474","Schenectady","Schenectady","12304",,"National Grid","02/25/2019","$8,846.00","Propane","1989","1,036","1","Home Performance","Mobile","Building Shell","393.00","16.00","$581.00"," Schenectady NY 12304 (42.77678, -73.899915)"
"06/30/2023","399394","Queens","Queens","11365","National Grid","Consolidated Edison","04/25/2019","$3,816.00","Natural Gas","1942","968","1","Home Performance","Single Family","Building Shell","510.00","31.00","$542.00"," Queens NY 11365 (40.73932, -73.791295)"
"06/30/2023","375743","Oswego","Pulaski","13142",,"National Grid","11/12/2018","$8,077.00","Oil","1989","1,009","1","Home Performance","Mobile","Building Shell","510.00","36.00","$757.00"," Pulaski NY 13142 (43.566945, -76.128275)"
"06/30/2023","407702","Onondaga","Baldwinsville","13027","National Grid","National Grid","08/09/2019","$4,905.00","Natural Gas","1991","878","1","Home Performance","Single Family","Building Shell","510.00","7.00","$115.00"," Baldwinsville NY 13027 (43.18518, -76.29835)"
"06/30/2023","393520","Broome","Vestal","13850","New York State Electric & Gas","New York State Electric & Gas","02/11/2019","$552.00","Natural Gas",,"Report SF less than 800","1","Home Performance","Mobile","Building Shell","259.00","0.00","$28.00"," Vestal NY 13850 (42.089923, -76.0047944)"
"06/30/2023","406552","Bronx","The Bronx","10452","National Grid","Consolidated Edison","05/31/2019","$639.00","Natural Gas",,"1,096","1","Electric Reduction","Single Family","Building Shell","510.00","1.00","$130.00"," The Bronx NY 10452 (40.838635, -73.921745)"
"06/30/2023","356143","Tioga","Newark Valley","13811",,"New York State Electric & Gas","05/15/2018","$7,000.00","Oil",,"1,680","1","Home Performance","Single Family","Building Shell","510.00","28.00","$699.00"," Newark Valley NY 13811 (42.226205, -76.185275)"
"06/30/2023","351308","Monroe","Rochester","14605","Rochester Gas & Electric","Rochester Gas & Electric","08/16/2018","$1,695.00","Natural Gas",,"1,152","1","Home Performance","Single Family","Building Shell","510.00","0.00","$59.00"," Rochester NY 14605 (43.165635, -77.59645)"
"06/30/2023","410186","Erie","Orchard Park","14127","National Fuel Gas Distribution","New York State Electric & Gas","07/26/2019","$3,535.00","Natural Gas",,"1,547","1","Home Performance","Single Family","Building Shell","443.00","23.00","$216.00"," Orchard Park NY 14127 (42.766185, -78.748205)"
"06/30/2023","412342","Erie","Buffalo","14214","National Fuel Gas Distribution","National Grid","08/02/2019","$4,994.00","Natural Gas","1951","865","1","Home Performance","Single Family","Building Shell","0.00","34.00","$252.00"," Buffalo NY 14214 (42.9366, -78.83923)"
"06/30/2023","359936","Herkimer","Cold Brook","13324",,"National Grid","10/19/2018","$5,057.00","Oil","1971","960","1","Home Performance","Mobile","Building Shell","564.00","10.00","$405.00"," Cold Brook NY 13324 (43.3177836, -75.0859643)"
